C00027532|N|M3|P2026|202503109754097951|24K|CCM|GUY FOR CONGRESS|PITTSBURGH|PA|15222|||02052025|1000|C00657833|H8PA18199|23425601|1879875|||4031020251179815768
C00027532|N|M3|P2026|202503109754097952|24K|CCM|DAVID ROUZER FOR CONGRESS|WILMINGTON|NC|284060142|||02182025|2000|C00501643|H2NC07096|23468862|1879875|||4031020251179815772
C00027532|N|M3|P2026|202503109754097952|24K|CCM|GARBARINO FOR CONGRESS|BAYPORT|NY|11705|||02182025|1000|C00729954|H0NY02234|23468860|1879875|||4031020251179815770
C00027532|N|M3|P2026|202503109754097952|24K|CCM|MAST FOR CONGRESS|STUART|FL|34995|||02182025|2500|C00632257|H6FL18097|23468861|1879875|||4031020251179815771
C00027532|N|M3|P2026|202503109754097953|24K|CCM|DON BACON FOR CONGRESS|OMAHA|NE|68139|||02182025|1000|C00575167|H6NE02125|23468863|1879875|||4031020251179815773
C00027532|N|M3|P2026|202503109754097953|24K|CCM|JAY OBERNOLTE FOR CONGRESS|ATHENS|CA|30605|||02182025|1000|C00720078|H0CA08135|23468864|1879875|||4031020251179815774
C00027532|N|M3|P2026|202503109754097953|24K|CCM|JULIA LETLOW FOR CONGRESS|RAYVILLE|LA|712690539|||02182025|1000|C00766428|H2LA05126|23468865|1879875|||4031020251179815775
C00027532|N|M3|P2026|202503109754097954|24K|CCM|JAKE ELLZEY FOR CONGRESS|WAXAHACHIE|TX|75164|||02182025|1000|C00770438|H8TX06266|23468866|1879875|||4031020251179815776
C00254656|N|M3|P2026|202503109754098408|24K|PAC|KANSANS FOR MARSHALL|GREAT BEND|KS|67530|||02032025|2000|C00576173|S0KS00315|SB23.9297|1879893|||4031120251179905045
C00197095|N|M3|P2026|202503109754099740|24K|CCM|GLENN GROTHMAN FOR CONGRESS|FOND DU LAC|WI|549641215|||02182025|1000|C00561597|H4WI06048|686C1FFAF704FD3EBBB|1879916|||4031120251179905024
C00197095|N|M3|P2026|202503109754099738|24K|CCM|ANDY BARR FOR CONGRESS, INC.|LEXINGTON|KY|40588|||02182025|1000|C00467571|H0KY06104|2FD8957CAF93DD6E4E1|1879916|||4031120251179905017
C00197095|N|M3|P2026|202503109754099739|24K|CCM|CAROL FOR CONGRESS|ALEXANDRIA|VA|22314|||02182025|2500|C00653220|H8WV03097|74B499DC1CAE1CE1E89|1879916|||4031120251179905020
